Sample ID	NR-AhR	NR-AR	NR-AR-LBD	NR-Aromatase	NR-ER	NR-ER-LBD	NR-PPAR-gamma	SR-ARE	SR-ATAD5	SR-HSE	SR-MMP	SR-p53
NCGC00261900-01	0	1	x	0	0	0	0	x	0	0	x	0
NCGC00260869-01	0	1	x	x	0	0	0	0	0	0	0	0
NCGC00261776-01	1	1	0	x	1	0	0	1	1	0	1	0
NCGC00261380-01	x	0	x	1	0	x	x	1	0	x	0	x
NCGC00261842-01	0	0	0	x	0	0	0	0	0	0	x	1
NCGC00261662-01	1	0	0	x	1	1	1	x	1	1	x	1
NCGC00261190-01	x	0	0	x	1	0	0	1	0	0	1	1
NCGC00260731-01	x	0	0	x	1	0	0	x	0	0	1	1
NCGC00261926-01	0	0	x	x	x	0	x	x	1	0	0	0
NCGC00261579-01	x	0	x	0	x	0	0	x	0	0	x	1
NCGC00260921-01	0	0	0	1	0	0	0	x	x	0	1	0
NCGC00261119-01	1	0	0	1	x	0	0	0	1	0	0	0
NCGC00260957-01	x	0	x	x	0	0	0	1	0	x	1	x
NCGC00261812-01	x	0	0	0	x	0	0	x	0	0	x	0
NCGC00260831-01	1	0	x	x	1	x	x	1	1	x	x	x
NCGC00261544-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261619-01	x	0	0	1	0	0	x	0	0	x	1	x
NCGC00261633-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261395-01	1	0	x	0	0	0	0	0	0	0	0	0
NCGC00261717-01	1	0	1	x	x	0	0	1	1	0	1	0
NCGC00261947-01	x	0	x	x	x	0	x	x	1	0	x	x
NCGC00261424-01	0	0	0	0	1	1	0	x	0	0	0	1
NCGC00261861-01	0	0	0	x	x	0	0	0	0	0	x	1
NCGC00261924-01	0	0	0	0	0	0	1	x	0	0	0	0
NCGC00261052-01	0	0	1	x	x	1	1	x	0	x	1	1
NCGC00261683-01	1	0	1	x	1	1	1	x	0	1	0	1
NCGC00261026-01	0	0	x	1	0	0	x	x	0	0	0	1
NCGC00261057-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261738-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261348-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261503-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260693-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260703-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260716-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260782-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260802-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260823-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261313-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260757-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260826-01	0	0	0	x	x	0	0	0	0	0	0	0
NCGC00261005-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260980-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261816-01	0	0	0	0	x	0	0	x	0	0	x	x
NCGC00260698-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260889-01	0	0	0	0	0	0	0	0	0	0	0	0
